"Attrition","BusinessTravel","Department","EducationField","Gender","JobRole","MaritalStatus"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Married"
"No","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Divorced"
"No","Travel_Rarely","Sales","Marketing","Male","Manager","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Single"
"Yes","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","Married"
"No","Travel_Frequently","Research & Development","Medical","Male","Healthcare Representative","Married"
"No","Non-Travel","Research & Development","Life Sciences","Female","Research Director","Divorced"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Single"
"Yes","Non-Travel","Sales","Medical","Male","Sales Executive","Single"
"Yes","Travel_Rarely","Sales","Marketing","Female","Manager","Married"
"No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Married"
"No","Non-Travel","Sales","Life Sciences","Female","Sales Executive","Married"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Single"
"No","Travel_Frequently","Research & Development","Medical","Female","Manufacturing Director","Single"
"No","Non-Travel","Sales","Life Sciences","Female","Sales Representative","Single"
"No","Travel_Rarely","Sales","Life Sciences","Female","Manager","Married"
"No","Non-Travel","Research & Development","Medical","Female","Laboratory Technician","Single"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced"
"No","Travel_Rarely","Sales","Technical Degree","Male","Manager","Married"
"No","Travel_Rarely","Human Resources","Medical","Male","Human Resources","Single"
"No","Travel_Frequently","Sales","Marketing","Female","Sales Executive","Married"
"Yes","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Divorced"
"Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Travel_Rarely","Sales","Life Sciences","Female","Sales Representative","Married"
"No","Travel_Rarely","Sales","Medical","Male","Sales Representative","Married"
"No","Travel_Frequently","Research & Development","Other","Male","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Director","Married"
"No","Travel_Rarely","Research & Development","Other","Female","Healthcare Representative","Single"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Director","Divorced"
"No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","Single"
"No","Non-Travel","Research & Development","Medical","Male","Manager","Single"
"No","Travel_Rarely","Sales","Medical","Male","Sales Executive","Divorced"
"Yes","Travel_Frequently","Sales","Marketing","Female","Sales Representative","Single"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Divorced"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married"
"Yes","Non-Travel","Research & Development","Technical Degree","Male","Healthcare Representative","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Other","Male","Manufacturing Director","Married"
"No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Healthcare Representative","Married"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Healthcare Representative","Married"
"No","Non-Travel","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","Married"
"No","Travel_Rarely","Research & Development","Other","Female","Research Scientist","Single"
"Yes","Travel_Rarely","Human Resources","Medical","Male","Human Resources","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Divorced"
"Yes","Travel_Rarely","Sales","Technical Degree","Male","Sales Executive","Single"
"Yes","Travel_Frequently","Research & Development","Medical","Female","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Divorced"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Healthcare Representative","Single"
"No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Divorced"
"Yes","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","Married"
"Yes","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Divorced"
"Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Manager","Married"
"Yes","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","Divorced"
"Yes","Travel_Frequently","Sales","Other","Male","Sales Executive","Single"
"No","Travel_Frequently","Sales","Life Sciences","Female","Sales Executive","Married"
"No","Non-Travel","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Non-Travel","Research & Development","Medical","Male","Manager","Single"
"No","Non-Travel","Sales","Life Sciences","Female","Sales Executive","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Single"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","Divorced"
"No","Travel_Rarely","Sales","Marketing","Male","Manager","Married"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Single"
"No","Travel_Frequently","Research & Development","Life Sciences","Female","Manufacturing Director","Married"
"Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Healthcare Representative","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Director","Single"
"No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","Single"
"No","Non-Travel","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"No","Non-Travel","Research & Development","Life Sciences","Male","Manufacturing Director","Single"
"No","Travel_Frequently","Sales","Life Sciences","Male","Sales Representative","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Travel_Frequently","Sales","Marketing","Male","Sales Executive","Divorced"
"No","Travel_Rarely","Sales","Technical Degree","Male","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","Single"
"No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Married"
"No","Travel_Rarely","Human Resources","Human Resources","Male","Human Resources","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Divorced"
"Yes","Non-Travel","Research & Development","Medical","Male","Laboratory Technician","Single"
"Yes","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"Yes","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Married"
"No","Travel_Rarely","Human Resources","Technical Degree","Male","Human Resources","Single"
"Yes","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Research Director","Single"
"Yes","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Single"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Single"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Divorced"
"No","Travel_Frequently","Research & Development","Medical","Male","Healthcare Representative","Single"
"No","Travel_Frequently","Research & Development","Other","Male","Laboratory Technician","Married"
"Yes","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Single"
"No","Non-Travel","Sales","Life Sciences","Female","Sales Representative","Divorced"
"No","Travel_Rarely","Research & Development","Technical Degree","Female","Manager","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Manager","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Married"
"Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Travel_Rarely","Sales","Marketing","Female","Manager","Married"
"No","Non-Travel","Research & Development","Life Sciences","Male","Research Scientist","Single"
"No","Travel_Rarely","Human Resources","Human Resources","Male","Human Resources","Married"
"Yes","Non-Travel","Research & Development","Life Sciences","Male","Research Scientist","Divorced"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Divorced"
"No","Travel_Frequently","Sales","Medical","Male","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Manager","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","Married"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Married"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Married"
"No","Travel_Frequently","Sales","Medical","Female","Sales Executive","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Divorced"
"No","Travel_Rarely","Research & Development","Other","Male","Research Scientist","Single"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Representative","Single"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Manufacturing Director","Divorced"
"No","Non-Travel","Human Resources","Medical","Male","Human Resources","Married"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced"
"No","Travel_Frequently","Research & Development","Other","Female","Laboratory Technician","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Technical Degree","Female","Manufacturing Director","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Married"
"No","Travel_Rarely","Sales","Technical Degree","Female","Sales Executive","Divorced"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Research Director","Married"
"No","Non-Travel","Sales","Marketing","Female","Sales Executive","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Female","Manufacturing Director","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Married"
"Yes","Non-Travel","Research & Development","Medical","Female","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Healthcare Representative","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","Single"
"No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Manager","Married"
"No","Travel_Frequently","Research & Development","Technical Degree","Male","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Director","Divorced"
"No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","Married"
"No","Travel_Rarely","Sales","Marketing","Male","Manager","Married"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married"
"Yes","Travel_Frequently","Sales","Life Sciences","Male","Sales Representative","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Single"
"Yes","Travel_Rarely","Sales","Marketing","Female","Manager","Single"
"No","Non-Travel","Research & Development","Medical","Male","Healthcare Representative","Divorced"
"Yes","Travel_Frequently","Research & Development","Life Sciences","Female","Laboratory Technician","Single"
"No","Travel_Rarely","Sales","Marketing","Female","Manager","Married"
"No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Single"
"No","Travel_Frequently","Sales","Life Sciences","Male","Manager","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Single"
"No","Travel_Frequently","Research & Development","Medical","Female","Laboratory Technician","Divorced"
"No","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Manager","Divorced"
"No","Travel_Frequently","Human Resources","Life Sciences","Male","Human Resources","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","Married"
"No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Single"
"Yes","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Laboratory Technician","Single"
"No","Non-Travel","Research & Development","Medical","Female","Manufacturing Director","Single"
"Yes","Travel_Rarely","Research & Development","Technical Degree","Female","Laboratory Technician","Divorced"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","Single"
"No","Travel_Rarely","Sales","Medical","Male","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Manager","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Manager","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Divorced"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Technical Degree","Female","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Technical Degree","Female","Healthcare Representative","Married"
"No","Travel_Rarely","Human Resources","Life Sciences","Female","Human Resources","Single"
"No","Non-Travel","Research & Development","Life Sciences","Female","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Director","Married"
"Yes","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Single"
"Yes","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Manager","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Single"
"No","Non-Travel","Sales","Life Sciences","Female","Sales Executive","Divorced"
"No","Non-Travel","Sales","Medical","Male","Sales Executive","Single"
"Yes","Travel_Frequently","Sales","Life Sciences","Female","Sales Representative","Single"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"No","Non-Travel","Research & Development","Life Sciences","Male","Manager","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Manager","Married"
"No","Travel_Rarely","Human Resources","Life Sciences","Male","Manager","Single"
"No","Non-Travel","Research & Development","Life Sciences","Male","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Single"
"No","Travel_Frequently","Sales","Marketing","Female","Sales Executive","Divorced"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Single"
"No","Travel_Rarely","Human Resources","Life Sciences","Male","Manager","Divorced"
"No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Divorced"
"No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married"
"Yes","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"No","Travel_Frequently","Sales","Marketing","Female","Sales Executive","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Single"
"No","Travel_Rarely","Sales","Medical","Female","Sales Representative","Married"
"No","Travel_Rarely","Research & Development","Technical Degree","Female","Manufacturing Director","Single"
"No","Non-Travel","Research & Development","Life Sciences","Female","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Married"
"No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Single"
"Yes","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Married"
"No","Non-Travel","Research & Development","Technical Degree","Female","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","Divorced"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married"
"Yes","Travel_Frequently","Sales","Life Sciences","Female","Sales Representative","Single"
"Yes","Travel_Frequently","Sales","Marketing","Female","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Technical Degree","Female","Healthcare Representative","Single"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Married"
"Yes","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Married"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Married"
"No","Travel_Frequently","Sales","Marketing","Male","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Married"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Married"
"No","Non-Travel","Research & Development","Life Sciences","Male","Healthcare Representative","Married"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Manufacturing Director","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","Single"
"No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Married"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single"
"No","Travel_Rarely","Human Resources","Human Resources","Female","Manager","Married"
"No","Travel_Rarely","Research & Development","Other","Female","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Single"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","Single"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Human Resources","Other","Male","Human Resources","Single"
"Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"Yes","Travel_Frequently","Research & Development","Other","Female","Healthcare Representative","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Research Director","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Research Director","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Director","Divorced"
"No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Single"
"Yes","Travel_Frequently","Sales","Life Sciences","Female","Sales Representative","Single"
"No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Director","Single"
"No","Travel_Frequently","Research & Development","Other","Male","Research Scientist","Divorced"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Married"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Research Scientist","Married"
"Yes","Travel_Rarely","Sales","Life Sciences","Male","Sales Representative","Married"
"No","Non-Travel","Research & Development","Technical Degree","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Research Director","Married"
"No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Married"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Married"
"No","Non-Travel","Research & Development","Other","Male","Laboratory Technician","Divorced"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Divorced"
"Yes","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced"
"Yes","Non-Travel","Research & Development","Life Sciences","Female","Laboratory Technician","Single"
"Yes","Travel_Frequently","Research & Development","Life Sciences","Female","Manufacturing Director","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Healthcare Representative","Divorced"
"No","Travel_Rarely","Human Resources","Medical","Female","Human Resources","Single"
"Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Manufacturing Director","Married"
"No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced"
"Yes","Travel_Rarely","Human Resources","Technical Degree","Female","Human Resources","Married"
"No","Non-Travel","Research & Development","Medical","Male","Research Director","Divorced"
"No","Travel_Rarely","Sales","Medical","Male","Sales Executive","Single"
"No","Non-Travel","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Director","Single"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Healthcare Representative","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Single"
"No","Travel_Frequently","Sales","Medical","Male","Sales Executive","Married"
"No","Travel_Rarely","Sales","Other","Male","Sales Executive","Single"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Married"
"No","Travel_Frequently","Research & Development","Medical","Female","Laboratory Technician","Single"
"No","Travel_Frequently","Sales","Marketing","Female","Sales Executive","Married"
"No","Non-Travel","Research & Development","Technical Degree","Male","Research Scientist","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Divorced"
"No","Travel_Frequently","Research & Development","Medical","Male","Research Director","Divorced"
"Yes","Travel_Frequently","Sales","Technical Degree","Male","Sales Representative","Married"
"Yes","Travel_Frequently","Sales","Technical Degree","Female","Sales Executive","Single"
"Yes","Travel_Rarely","Sales","Medical","Female","Sales Executive","Single"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Representative","Married"
"Yes","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","Single"
"No","Non-Travel","Sales","Life Sciences","Female","Sales Representative","Married"
"No","Travel_Frequently","Research & Development","Medical","Male","Manufacturing Director","Single"
"No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Divorced"
"No","Travel_Rarely","Human Resources","Life Sciences","Male","Human Resources","Divorced"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Married"
"No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Married"
"No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Married"
"Yes","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Divorced"
"No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Single"
"No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Female","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Single"
"No","Travel_Rarely","Research & Development","Medical","Male","Manager","Single"
"No","Travel_Frequently","Research & Development","Medical","Female","Manager","Divorced"
"Yes","Travel_Rarely","Research & Development","Technical Degree","Male","Research Scientist","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Single"
"No","Travel_Rarely","Sales","Life Sciences","Female","Manager","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Female","Healthcare Representative","Single"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single"
"No","Travel_Rarely","Sales","Technical Degree","Male","Sales Executive","Married"
"Yes","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Single"
"No","Travel_Frequently","Research & Development","Medical","Male","Research Director","Single"
"No","Travel_Rarely","Sales","Technical Degree","Male","Sales Representative","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Married"
"No","Travel_Rarely","Research & Development","Other","Female","Healthcare Representative","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Single"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Research Scientist","Married"
"No","Travel_Frequently","Research & Development","Life Sciences","Male","Healthcare Representative","Married"
"No","Travel_Rarely","Sales","Medical","Male","Sales Executive","Married"
"No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married"
"No","Travel_Rarely","Human Resources","Medical","Male","Manager","Single"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","Divorced"
"No","Non-Travel","Research & Development","Life Sciences","Male","Healthcare Representative","Divorced"
"No","Travel_Rarely","Research & Development","Technical Degree","Male","Healthcare Representative","Divorced"
"No","Travel_Rarely","Sales","Life Sciences","Female","Sales Representative","Married"
